name,variant,description,weight,extracted_weight,extracted_quantity,extraction_method,target,target_text
Chicken Wings (Party Style),,,"
                                    1.1 lb avg. / pkg
                                ",1.1,1.0,weight_raw_fallback,1.1,1 x 1.1 lbs
Pork Breakfast Sasuage Patties | 1 lb,Default Title,"<p>Savor our 8-portions of pasture-raised breakfast sausage patties, perfect for a quick, delicious breakfast or brunch!</p>",grams:680,1.0,1.0,name_complete,1.0,1 x 1.0 lbs
Country Style Ribs,1.5 lbs,"<p class=""whitespace-normal break-words"">Grass-fed and grass-finished boneless country style ribs. These meaty cuts are well-suited for slow cooking methods like braising or smoking, and also work well on the grill.</p>
<p class=""whitespace-normal break-words""><strong>Product Details:</strong></p>
<ul class=""[&amp;:not(:last-child)_ul]:pb-1 [&amp;:not(:last-child)_ol]:pb-1 list-disc space-y-1.5 pl",grams:1134,1.5,1.0,variant_complete,1.5,1 x 1.5 lbs
Organic Green Peas,,,"
                                    10oz Bag
                                ",0.625,1.0,weight_raw_fallback,0.625,1 x 0.6 lbs
100% Grassfed Salted Butter,,,"
                                    8oz | Frozen Pkg
                                ",0.5,1.0,weight_raw_fallback,0.5,1 x 0.5 lbs
Smoked Pork Chop,,,"
                                    8 oz chop /  pkg
                                ",0.5,1.0,weight_raw_fallback,0.5,1 x 0.5 lbs
Chicken Breast,,,"
                                    1.1 lb avg. / pkg
                                ",1.1,1.0,weight_raw_fallback,1.1,1 x 1.1 lbs
Beef Boneless Chuck Roast,,,"
                                    2 lb. avg. / pkg
                                ",2.0,1.0,weight_raw_fallback,2.0,1 x 2.0 lbs
Pork Collar Steak,,,"
                                    12 oz avg. / pkg
                                ",0.75,1.0,weight_raw_fallback,0.75,1 x 0.8 lbs
Lamb Soup Bones Mixed With Marrow,,,"
                                    2.3 lb avg. / pkg
                                ",2.3,1.0,weight_raw_fallback,2.3,1 x 2.3 lbs
Beef Fajita Meat,,,"
                                    12 oz avg. / pkg
                                ",0.75,1.0,weight_raw_fallback,0.75,1 x 0.8 lbs
Grassfed Ground Bull,Default Title,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1""><meta charset=""utf-8"">On our farm, we don't castrate our male cattle, which leaves us with a few hundred bulls to process every year. In addition to maintaining a closed-loop genetic approach to creating our own breed of cattle, we are excited to offer our customers a unique product not widely available. Can you imagine th",grams:454,0.0,1.0,description_complete,0.0,1 x 0.0 lbs
Heritage Ham Roast (SUGAR FREE),,,"
                                    2 lb avg. / pkg
                                ",2.0,1.0,weight_raw_fallback,2.0,1 x 2.0 lbs
Lamb Bacon Ends,,,"
                                    8 oz avg. / pkg
                                ",0.5,1.0,weight_raw_fallback,0.5,1 x 0.5 lbs
12oz Jalapeno Bratwurst Links (Sugar Free),,,"
                                    12 oz / pkg
                                ",0.75,1.0,name_complete,0.75,1 x 0.8 lbs
Bone-In Ribeye 35-Dry Age - The Rarest Beef in America,2.25 - 2.5 lbs,"<p class=""MsoNormal""><span>Experience the apex of grass-fed excellence with our ultra-exclusive <span class=""m_-4771582983077134258SpellE"">Marbre</span> Noir bone-in ribeye. Double-aged to perfection, this bone-in ribeye is a game-changer, regeneratively raised on our family ranch with unparalleled flavor and tenderness.<u></u><u></u></span></p>
<p class=""MsoNormal""><b><span>Premium 36+ Month Gras",grams:1134,2.5,1.0,variant_complete,2.5,1 x 2.5 lbs
Chicken Bratwurst,,,"
                                    1 lb / pkg
                                ",1.0,1.0,weight_raw_fallback,1.0,1 x 1.0 lbs
Beef Sirloin Tip Roast,,,"
                                    2.1 lb avg. / pkg
                                ",2.1,1.0,weight_raw_fallback,2.1,1 x 2.1 lbs
"Beef Ribeye Steak, Cowboy Cut",,,"
                                    16 oz avg. / pkg
                                ",1.0,1.0,weight_raw_fallback,1.0,1 x 1.0 lbs
Ground Beef,,,"
                                    1lb / pkg
                                ",1.0,1.0,weight_raw_fallback,1.0,1 x 1.0 lbs
Beef Summer Sausage - 8 oz,Default Title,"<p>Beef Summer Sausage is a delicious addition to US Wellness Meats’ product line! It is fully cooked and ready to eat. Try it today for a satisfying snack.</p>
<p>Ingredients: Beef, Celtic Sea Salt, Black Pepper, Spices (Black Pepper, Nutmeg), Garlic Powder</p>
<p>Each Beef Summer Sausage averages 8 ounces.</p>
<p>All of US Wellness Meats’ beef products are 100% grass-fed and grass-finished.</p>",grams:227,0.5,1.0,name_complete,0.5,1 x 0.5 lbs
1/8 Beef Box,,,<p>We pack every order with just the right amount of dry ice to keep everything frozen during transi,0.3125,2.0,weight_raw_fallback,0.625,2 x 0.3 lbs
Beef Suet,,,"
                                    1.5 lb avg. / pkg
                                ",1.5,1.0,weight_raw_fallback,1.5,1 x 1.5 lbs
Beef Ground Sirloin,,,"
                                    1lb / pkg
                                ",1.0,1.0,weight_raw_fallback,1.0,1 x 1.0 lbs
Beef Marrow Bones,Default Title,"<meta charset=""utf-8""><span><span>1 package of 2-3 pounds assorted Beef Marrow Bones</span></span><meta charset=""utf-8""><span>—perfect for cooking, special dishes, bone broths, stocks, and lucky dog bones!</span><br><i><br></i>
<ul>
<li>2.5-3 lb average bag. Bones are in loose bag, not vacuum sealed. May have ice. Bones are cut lengthwise in half.</li>
</ul>",grams:1361,3.0,1.0,description_complete,3.0,1 x 3.0 lbs
Farm Staples Box,,,"<p class=""tw-m-0 tw-mt-1 tw-leading-4 tw-text-sm tw-text-gray-500"">1lb / pkg</p> 1lb / pkg <p class=",0.3125,2.0,weight_raw_fallback,0.625,2 x 0.3 lbs
Beef Breakfast Polish Sausage Sliders - 6 (3 oz) patties,Default Title,"<p>Are you tired of eating the same old thing for breakfast? Try US Wellness Meats’ Beef Breakfast Polish Sausage Sliders and you will not be disappointed. Pair the Beef Breakfast Polish Sausage Sliders with free-range eggs on your breakfast plate for amazing results.</p>
<p>Beef Breakfast Polish Sausage Sliders are made with 75% lean ground beef.</p>
<p>Total weight: 1.125 lbs.... contains 6 (3 o",grams:510,0.1875,6.0,name_complete,1.125,6 x 0.2 lbs
Boneless Pork Chops - four 4 oz chops,Default Title,"<p>US Wellness Meats’ newest version of pork chops is Boneless Pork Chops. The cut is very versatile and can be used in many ways.</p>
<p>Each package contains 4 (4 ounce) Boneless Pork Chops. The package averages 1 pound.</p>
<p>All of our pasture-raised heritage pork is from like-minded, sustainable family farms.</p>
<p><b><span>All US Wellness Meats pigs are GAP certified, Prop 12, unconfined w",grams:454,0.25,4.0,name_complete,1.0,4 x 0.2 lbs
Premium Reserve Gourmet Burgers,,,"
                                    (2) 5 oz patties / pkg
                                ",0.3125,2.0,weight_raw_fallback,0.625,2 x 0.3 lbs
Grass Fed Beef Oxtail,Case (4 units),"<p><span>Oxtails are great for a variety of stewing recipes.  Cooked low and slow, they come out tender and delicious! Each package is around 1.5 lbs and there are 4 packages in a case.</span></p>",grams:2722,1.5,4.0,cross_field_description,6.0,4 x 1.5 lbs
